CUST_ID, BALANCE , BALANCE_FREQUENCY , PURCHASES , ONEOFF_PURCHASES , INSTALLMENTS_PURCHASES , CASH_ADVANCE , PURCHASES_FREQUENCY , ONEOFF_PURCHASES_FREQUENCY , PURCHASES_INSTALLMENTS_FREQUENCY , CASH_ADVANCE_FREQUENCY , CASH_ADVANCE_TRX , PURCHASES_TRX , CREDIT_LIMIT , PAYMENTS , MINIMUM_PAYMENTS ,PRC_FULL_PAYMENT,TENURE
C11830,"1,269.02",0.82,445.46,    ,445.46,    ,1,    ,1,    ,    ,13,"2,600.00","2,876.00",489.75,0,12
C11831,"1,592.49",1,"1,449.48",460,989.48,    ,1,0.33,1,    ,    ,19,"10,500.00","1,695.90",419.78,0,12
C11832,"9,502.26",1,"2,776.09","1,424.05","1,352.04",    ,0.92,0.58,0.92,    ,    ,36,"10,500.00","4,177.32","4,264.64",0,12
C11833,57.42,1,685,    ,685,    ,1,    ,0.92,    ,    ,12,"1,200.00",559.81,198.62,0.333333,12
C11834,"2,303.96",0.89,    ,    ,    ,"5,585.82",    ,    ,    ,0.78,21,    ,"6,000.00",331.45,443.58,0,9
C11835,"2,286.90",0.91,"4,536.48","3,275.00","1,261.48",    ,1,0.33,1,    ,    ,37,"4,000.00","5,981.01","1,542.93",0,12
C11836,"1,058.37",1,    ,    ,    ,"1,353.58",    ,    ,    ,0.25,4,    ,"1,500.00","1,381.06",266.36,0,12
C11837,"4,803.12",1,    ,    ,    ,"1,692.52",    ,    ,    ,0.42,6,    ,"8,500.00","1,089.77","1,564.05",0,12
C11838,"6,836.55",1,    ,    ,    ,"11,405.73",    ,    ,    ,1,42,    ,"10,000.00","6,834.70","2,716.33",0,12
C11839,3.12,0.55,    ,    ,    ,317.51,    ,    ,    ,0.17,2,    ,"2,500.00",559.5,56.15,0.25,12
C11840,"1,053.64",1,"1,027.01","1,002.80",24.21,314.03,0.58,0.25,0.25,0.08,3,8,"2,200.00","1,181.14",225.35,0,12
C11841,"11,734.27",1,"1,528.12",    ,"1,528.12","5,187.26",1,    ,0.92,0.58,13,38,"15,500.00","3,624.23","4,804.43",0,12
C11842,80.55,0.91,"2,132.70",914,"1,218.70",    ,1,1,1,    ,    ,38,"10,000.00","1,731.53",129.51,0.545455,12
C11843,"1,308.79",1,    ,    ,    ,99.67,    ,    ,    ,0.17,2,    ,"1,500.00",528.26,344.76,0,12
C11844,"6,224.46",1,"4,439.11","3,884.10",555.01,    ,0.83,0.5,0.75,    ,    ,59,"6,500.00","2,546.34","4,299.47",0,12
C11845,874.2,1,232.8,232.8,    ,331.58,0.25,0.25,    ,0.08,1,5,"3,000.00","1,473.64",328.11,0.083333,12
C11846,"1,329.44",1,    ,    ,    ,"1,024.35",    ,    ,    ,0.17,2,    ,"1,800.00",684.6,311.08,0,12
C11847,"4,372.40",1,569.91,569.91,    ,520.84,0.27,0.27,    ,0.27,9,5,"4,500.00","1,345.10","3,937.47",0,11
C11848,"4,473.44",1,656.2,656.2,    ,117.48,1,1,    ,0.08,1,12,"4,500.00","1,481.91","1,496.98",0,12
C11849,"1,127.61",1,    ,    ,    ,271.09,    ,    ,    ,0.08,1,    ,"8,500.00",662.39,260.28,0,12
C11850,"1,194.65",1,322.29,    ,322.29,    ,0.92,    ,0.83,    ,    ,13,"1,200.00",482.36,946.19,0,12
C11851,291.99,1,"2,971.56","1,671.60","1,299.96",    ,0.92,0.33,0.83,    ,    ,31,"13,500.00","2,238.59",171.65,1,12
C11852,"2,929.75",1,376.04,222,154.04,    ,0.5,0.08,0.5,    ,    ,8,"3,000.00","1,037.96","1,405.92",0,12
C11853,16.01,0.27,151.33,151.33,    ,    ,0.17,0.17,    ,    ,    ,3,"5,000.00",450.84,132.75,0.5,12
C11854,"6,937.81",1,339.75,    ,339.75,    ,0.25,    ,0.25,    ,    ,3,"10,500.00","2,163.15","3,228.08",0,12
C11855,"7,888.03",1,    ,    ,    ,"1,282.99",    ,    ,    ,0.33,7,    ,"12,000.00","1,685.55","2,145.59",0,12
C11856,"1,020.29",1,"1,788.10",921.1,867,    ,0.83,0.25,0.83,    ,    ,22,"1,500.00",492.18,745.73,0,12
C11857,"4,751.92",1,"1,394.93",576.13,818.8,    ,1,0.33,1,    ,    ,37,"5,000.00","2,635.44","4,247.46",0,12
C11858,"2,270.96",1,25.26,25.26,    ,452.8,0.08,0.08,    ,0.25,3,1,"3,100.00",503.2,815.4,0,12
C11859,"2,377.76",1,    ,    ,    ,943.91,    ,    ,    ,0.42,6,    ,"6,500.00","4,119.52",955.26,0,12
C11860,"1,473.90",1,    ,    ,    ,163.86,    ,    ,    ,0.33,4,    ,"1,500.00",340.24,517.59,0,12
C11861,"6,853.02",1,    ,    ,    ,"2,529.90",    ,    ,    ,0.5,9,    ,"7,500.00","1,863.40","2,228.52",0,12
C11862,"1,527.64",1,    ,    ,    ,210.42,    ,    ,    ,0.17,3,    ,"1,700.00",540.41,508.67,0,12
C11863,"1,611.48",1,807.72,    ,807.72,    ,1,    ,1,    ,    ,36,"1,500.00","1,019.45","2,134.56",0,12
C11864,344.59,0.36,519,519,    ,"2,865.94",0.08,0.08,    ,0.17,6,1,"4,000.00",663.65,69.24,0,12
C11865,"2,021.64",1,363.18,363.18,    ,    ,1,1,    ,    ,    ,13,"2,000.00",704.24,795.86,0,12
C11866,102.23,1,"1,074.29",249.21,825.08,    ,1,0.17,1,    ,    ,21,"5,000.00","1,075.32",188.24,0.083333,12
C11867,"1,407.26",0.91,151.64,151.64,    ,    ,0.09,0.09,    ,    ,    ,1,"1,500.00",337.89,337.42,0,11
C11868,"2,158.42",1,154.53,115.8,38.73,879.54,0.38,0.25,0.38,0.25,8,8,"2,500.00",664.11,459.98,0,8
C11869,"1,492.43",1,99.75,34.32,65.43,    ,0.08,0.08,0.08,    ,    ,3,"6,000.00","2,224.19",382.93,0.083333,12
C11870,"5,193.66",1,    ,    ,    ,"1,682.15",    ,    ,    ,0.58,9,    ,"5,500.00","2,422.10","2,233.34",0,12
C11871,"1,885.55",1,    ,    ,    ,"3,197.18",    ,    ,    ,0.25,11,    ,"8,000.00","8,559.58",755.63,0.166667,12
C11872,54.84,1,105,105,    ,    ,0.08,0.08,    ,    ,    ,1,"4,000.00",329.58,174.98,0,12
C11873,"2,125.11",1,663.04,663.04,    ,"1,953.19",0.75,0.75,    ,0.08,2,24,"2,500.00",560.76,447.23,0,12
C11874,102.83,1,"1,067.85",669.21,398.64,    ,1,0.58,1,    ,    ,21,"10,000.00","1,480.49",147.45,0.545455,12
C11875,"1,628.61",1,"1,340.83",695.04,645.79,    ,0.67,0.42,0.5,    ,    ,28,"2,000.00",586.26,"1,190.49",0,12
C11876,"1,733.68",1,100,100,    ,270.58,0.08,0.08,    ,0.33,6,1,"1,700.00",689.28,"1,102.00",0,12
C11877,"9,303.56",1,"6,133.01","4,045.67","2,087.34","1,895.61",1,1,1,0.83,23,115,"12,500.00","4,054.58","2,998.47",0,12
C11878,"3,541.96",1,    ,    ,    ,"1,853.52",    ,    ,    ,0.17,2,    ,"4,000.00",789.69,941.57,0,12
C11879,1.42,0.09,    ,    ,    ,94.54,    ,    ,    ,0.08,1,    ,"1,200.00",    ,,0,12
C11880,"2,447.78",1,431.96,290,141.96,    ,0.58,0.17,0.42,    ,    ,9,"2,500.00",740.17,"1,096.26",0,12
C11881,94.28,1,846.06,312.4,533.66,    ,1,0.17,0.92,    ,    ,21,"9,000.00",922.71,171.6,0.75,12
C11882,"1,628.59",1,361,    ,361,291.28,0.83,    ,0.75,0.17,2,20,"1,800.00","1,018.20",684.45,0,12
C11883,396.67,1,"2,559.41","2,469.41",90,    ,0.5,0.33,0.17,    ,    ,8,"4,000.00",827.89,188.19,0,12
C11884,"5,036.76",1,"3,393.73","1,702.72","1,691.01",    ,1,0.83,1,    ,    ,71,"10,000.00","1,331.18","1,206.79",0,12
C11885,248.24,0.27,    ,    ,    ,"1,423.53",    ,    ,    ,0.17,3,    ,"3,500.00",181.02,341.27,0,12
C11886,109.42,1,"1,219.85",878.7,341.15,172.66,1,1,0.75,0.08,2,23,"5,000.00","2,250.04",180.61,0.5,12
C11887,"4,624.41",1,"2,537.67","1,774.91",762.76,    ,0.92,0.75,0.67,    ,    ,39,"7,000.00","1,045.88","1,194.29",0,12
C11888,491.61,0.91,747.55,    ,747.55,    ,0.82,    ,0.82,    ,    ,9,"2,500.00",282.96,189.44,0,11
C11889,"5,329.82",1,674.85,501.85,173,"1,129.30",0.67,0.17,0.67,0.17,6,24,"5,500.00","1,390.66","3,999.11",0,12
C11890,10.49,0.36,241.27,241.27,    ,    ,0.08,0.08,    ,    ,    ,1,"2,500.00",557.9,204.56,0,12
C11892,"4,402.35",1,    ,    ,    ,"2,117.81",    ,    ,    ,0.25,10,    ,"5,000.00","1,030.12","1,162.59",0,12
C11893,"7,283.58",1,209.07,209.07,    ,"7,545.63",0.08,0.08,    ,0.33,9,1,"11,500.00","1,543.54","2,818.72",0,12
C11894,30.86,0.55,415.04,    ,415.04,    ,0.5,    ,0.5,    ,    ,6,"7,500.00",485.11,98.72,0.545455,12
C11895,112.87,0.82,918.6,603.6,315,    ,0.75,0.42,0.58,    ,    ,17,"7,500.00","1,129.70",177.26,1,12
C11896,"7,390.20",1,612.1,    ,612.1,"2,735.15",0.67,    ,0.67,0.17,2,25,"12,000.00","1,920.46","1,795.65",0,12
C11897,"1,274.14",1,"5,219.95","2,568.35","2,651.60",    ,1,0.83,1,    ,    ,66,"7,500.00","3,984.43","3,453.80",0,12
C11898,644.11,0.45,638.61,0.01,638.6,    ,0.58,0.08,0.58,    ,    ,12,"12,000.00","2,529.46",227.89,0,12
C11899,91.23,0.64,736.91,32.71,704.2,    ,0.58,0.08,0.5,    ,    ,8,"6,000.00",960.37,175.9,1,12
C11900,915.72,1,55.49,    ,55.49,    ,0.42,    ,0.42,    ,    ,7,"1,000.00","1,221.51","10,800.05",0.083333,12
C11901,"1,216.59",1,878.64,757.8,120.84,155.8,0.75,0.75,0.17,0.17,2,20,"1,200.00",654.24,"1,296.17",0,12
C11902,"5,941.27",1,279.36,    ,279.36,905.98,0.67,    ,0.67,0.08,2,16,"6,000.00","3,140.40","2,949.00",0,12
C11903,"3,817.69",1,"4,974.27","3,825.87","1,148.40",    ,1,0.25,1,    ,    ,33,"5,000.00","6,752.53","1,468.16",0,12
C11904,    ,    ,369.36,    ,369.36,    ,1,    ,1,    ,    ,12,"1,500.00",431.44,,0,12
C11905,"1,276.94",1,"2,196.54","1,037.80","1,158.74",    ,1,0.33,1,    ,    ,44,"1,000.00","1,410.01","3,446.47",0,12
C11906,"8,099.88",1,"2,352.00","1,161.47","1,190.53",389.68,1,0.83,1,0.25,4,50,"12,500.00","1,863.94","1,830.53",0,12
C11907,86.69,0.5,    ,    ,    ,465.46,    ,    ,    ,0.1,1,    ,"1,500.00",543.83,64.98,0,10
C11908,78.91,0.91,828.14,301,527.14,    ,0.42,0.33,0.17,    ,    ,9,"2,600.00",903.6,519.56,0.285714,12
C11909,52.78,1,508.94,508.94,    ,    ,1,1,    ,    ,    ,12,"3,000.00",478.83,165,0.4,12
C11910,109.14,1,319.62,319.62,    ,    ,0.67,0.67,    ,    ,    ,13,"3,500.00",597.96,168.62,0,12
C11911,"2,586.53",1,400,400,    ,    ,0.08,0.08,    ,    ,    ,1,"3,000.00",886.66,939.46,0,12
C11912,"6,668.44",1,"5,596.11","2,880.91","2,715.20","2,790.32",1,0.58,1,0.17,14,110,"16,000.00","17,068.97","6,687.97",0.083333,12
C11913,"2,539.28",1,820.42,820.42,    ,879.32,0.67,0.67,    ,0.17,2,19,"3,000.00",757.33,686.94,0,12
C11914,"2,154.35",1,104,104,    ,91.41,0.09,0.09,    ,0.09,1,1,"6,000.00",732.47,512.46,0,11
C11915,"2,720.96",1,66.49,    ,66.49,457.61,0.17,    ,0.17,0.33,7,3,"3,000.00",967.66,"1,317.33",0,12
C11916,693.64,1,358.91,152,206.91,    ,1,0.25,1,    ,    ,39,"5,000.00",338.79,170.61,0,12
C11917,"3,414.78",1,    ,    ,    ,"8,264.60",    ,    ,    ,0.18,9,    ,"9,000.00",718.95,"1,160.44",0,11
C11918,"3,478.07",1,"2,465.92","1,676.11",789.81,90.36,1,0.75,1,0.08,1,41,"12,000.00",955.3,962.88,0,12
C11919,"6,378.28",1,    ,    ,    ,"4,169.59",    ,    ,    ,0.67,15,    ,"10,500.00","1,376.69","1,539.53",0,12
C11920,33.07,0.91,286.4,231.29,55.11,91.34,0.5,0.25,0.17,0.08,1,6,"8,500.00",435.6,188.84,0.3,12
C11921,366.69,1,653.21,    ,653.21,    ,1,    ,1,    ,    ,30,"3,000.00",276.17,193.83,0,12
C11922,245.18,1,"2,481.64",    ,"2,481.64",    ,1,    ,1,    ,    ,41,"4,000.00","2,261.35",176.53,0.916667,12
C11924,786.48,1,226.9,    ,226.9,666.78,0.83,    ,0.75,0.17,4,25,"1,200.00","1,391.07",187.14,0,12
C11925,7.03,0.45,502.33,424,78.33,    ,0.42,0.17,0.17,    ,    ,5,"2,500.00",844.12,25.46,0,12
C11926,"4,379.02",1,996.64,860.5,136.14,"3,632.14",0.92,0.67,0.42,0.33,4,27,"14,500.00","2,034.93","1,064.25",0,12
C11927,167.76,1,320.72,    ,320.72,    ,0.92,    ,0.92,    ,    ,20,"1,200.00",863.49,186.53,0,12
C11928,"1,199.56",0.5,    ,    ,    ,"2,831.84",    ,    ,    ,0.1,2,    ,"3,000.00",707.77,637.98,0,10
C11929,"5,774.21",1,"2,102.51",721.67,"1,380.84","3,536.32",0.92,0.33,0.92,0.08,7,37,"15,000.00","4,711.57","1,308.76",0,12
C11930,41.46,0.27,550.08,    ,550.08,    ,0.25,    ,0.17,    ,    ,4,"6,000.00","1,104.88",168.56,1,12
C11931,"1,383.16",1,    ,    ,    ,55.21,    ,    ,    ,0.17,2,    ,"1,500.00",276.63,504.84,0,12
C11932,"2,572.88",1,"3,975.00","3,975.00",    ,    ,0.42,0.42,    ,    ,    ,5,"4,000.00","2,386.98",667.02,0,12
C11933,177.56,0.82,"2,228.35","1,600.99",627.36,    ,0.75,0.67,0.58,    ,    ,29,"12,000.00","1,842.34",110.44,0.454545,12
C11934,539,1,    ,    ,    ,"2,156.58",    ,    ,    ,0.17,2,    ,"1,200.00","3,303.66",303.15,0.111111,12
C11935,92.82,1,345.66,45.65,300.01,    ,0.75,0.08,0.75,    ,    ,10,"1,000.00",383.91,192.65,0.25,12
C11936,"1,247.42",1,    ,    ,    ,503.56,    ,    ,    ,0.17,3,    ,"1,500.00",721.9,273.13,0,12
C11937,911.3,1,954.15,425.35,528.8,    ,0.83,0.25,0.67,    ,    ,12,"1,200.00",283.61,282.49,0,12
C11938,98.43,1,389.24,    ,389.24,    ,0.67,    ,0.58,    ,    ,11,"8,500.00",371.31,178.05,0,12
C11939,989.99,0.91,    ,    ,    ,"1,110.81",    ,    ,    ,0.18,7,    ,"1,200.00",240.09,283.36,0,11
C11940,69.35,1,636.15,    ,636.15,    ,0.83,    ,0.75,    ,    ,16,"10,000.00",837.8,193.41,0.333333,12
C11941,12.03,0.27,581.21,    ,581.21,    ,0.33,    ,0.33,    ,    ,11,"4,000.00","1,333.88",32.78,0,12
C11942,"1,265.78",1,"1,585.79","1,257.32",328.47,    ,1,0.42,1,    ,    ,22,"3,000.00",338.98,399.11,0,12
C11943,"3,682.77",1,"1,194.15",987.59,206.56,"1,074.79",1,0.25,0.92,0.42,10,52,"4,050.00","2,121.03","1,837.00",0,12
C11944,210.99,0.82,90.51,90.51,    ,    ,0.08,0.08,    ,    ,    ,1,"6,500.00","1,240.77",230.98,0,12
C11945,"3,171.18",1,109.16,    ,109.16,"4,586.70",0.08,    ,0.08,0.33,10,1,"6,000.00",598.08,"1,307.45",0,12
C11946,311.12,1,744.09,689.09,55,    ,1,1,0.17,    ,    ,19,"7,500.00",652,171.06,0,12
C11947,"3,310.57",1,717.14,649.14,68,    ,0.5,0.33,0.08,    ,    ,7,"12,500.00","1,372.96",775.8,0,12
C11948,408.95,0.27,    ,    ,    ,"1,871.86",    ,    ,    ,0.08,1,    ,"10,000.00","3,902.38",124.09,0.090909,12
C11949,131.34,0.64,"1,160.65","1,160.65",    ,    ,0.5,0.5,    ,    ,    ,8,"13,000.00","1,113.41",93.23,0.3,12
C11950,365.01,1,421.04,341,80.04,    ,0.33,0.08,0.33,    ,    ,6,"4,000.00","1,386.41",110.54,0,12
C11951,26.6,0.55,329.38,23.65,305.73,    ,0.33,0.08,0.25,    ,    ,7,"10,500.00","1,034.73",222.73,1,12
C11952,"1,117.46",1,    ,    ,    ,"1,377.19",    ,    ,    ,0.71,11,    ,"1,500.00",171.69,149.41,0,7
C11953,26.22,0.55,615.16,    ,615.16,    ,0.83,    ,0.83,    ,    ,44,"14,000.00","1,560.05",81.33,0.363636,12
C11954,"1,106.70",1,"1,260.13","1,260.13",    ,    ,0.2,0.2,    ,    ,    ,3,"6,500.00","1,556.57",238.44,0,10
C11955,"2,205.47",1,"3,278.42","1,640.05","1,638.37",    ,1,0.67,1,    ,    ,147,"6,000.00","2,726.20",966.35,0,12
C11956,"1,722.91",1,45.45,45.45,    ,"1,654.21",0.08,0.08,    ,0.42,5,2,"4,000.00",511.53,439.58,0,12
C11957,"1,672.97",1,    ,    ,    ,74.81,    ,    ,    ,0.08,1,    ,"2,100.00",341.94,754.67,0,12
C11958,"1,333.90",1,233.31,    ,233.31,"1,432.96",1,    ,0.86,0.29,3,7,"1,500.00",310.7,298.33,0,7
C11959,"1,329.83",1,"1,304.96","1,304.96",    ,18.43,0.25,0.25,    ,0.08,1,7,"7,500.00",625.41,402.13,0,12
C11960,117.06,0.91,"1,035.05",64.9,970.15,    ,0.75,0.08,0.67,    ,    ,10,"3,000.00","1,336.49",154.16,0.777778,12
C11961,559.15,1,94,94,    ,    ,0.25,0.25,    ,    ,    ,3,"5,500.00",254.73,218.28,0,12
C11962,10.16,0.64,82.04,    ,82.04,    ,0.5,    ,0.5,    ,    ,6,"2,000.00",139.91,153.67,0,12
C11963,"5,206.45",1,    ,    ,    ,"3,256.76",    ,    ,    ,0.38,6,    ,"9,500.00",996.18,"1,093.10",0,8
C11964,"2,623.97",1,"3,005.89","2,438.85",567.04,    ,0.92,0.75,0.75,    ,    ,40,"5,500.00","1,245.20",679.38,0,12
C11965,"2,297.32",1,"4,474.43","3,544.31",930.12,"1,508.53",0.92,0.75,0.42,0.17,3,44,"5,500.00","9,481.48",846.56,0.083333,12
C11966,"7,248.04",1,    ,    ,    ,"3,990.96",    ,    ,    ,0.67,24,    ,"8,500.00","2,645.69","2,530.44",0,12
C11967,"1,917.98",1,    ,    ,    ,"6,022.79",    ,    ,    ,0.08,1,    ,"6,500.00","7,189.70",626.08,0.166667,12
C11968,206.38,1,"1,886.21","1,230.31",655.9,    ,1,1,1,    ,    ,65,"3,000.00","2,089.60",170.96,0.083333,12
C11969,"5,283.57",1,202.31,116.09,86.22,"1,564.29",0.33,0.17,0.17,0.67,17,5,"9,500.00","1,384.84","1,266.93",0,12
C11970,102.06,0.73,999.19,586.29,412.9,    ,0.58,0.25,0.42,    ,    ,16,"7,500.00","2,181.22",148.1,0.875,12
C11971,"3,360.69",1,794.1,    ,794.1,"8,095.18",0.83,    ,0.75,0.67,10,10,"9,500.00","4,897.57","1,460.92",0,12
C11972,"1,046.79",1,517.08,282.6,234.48,    ,0.75,0.33,0.58,    ,    ,13,"1,200.00",477.48,345.16,0,12
C11973,869.09,1,438.22,263.5,174.72,    ,0.42,0.25,0.17,    ,    ,6,"3,000.00",336.52,381.78,0,12
C11974,"5,292.91",1,"5,539.68","2,603.79","2,935.89",    ,1,0.92,1,    ,    ,273,"6,000.00","3,597.68","3,838.48",0,12
C11975,"1,856.33",0.82,670.5,516.9,153.6,"5,603.13",0.55,0.27,0.36,0.73,107,9,"7,000.00","9,221.92",537.18,0.142857,11
C11976,127.24,1,760.36,89,671.36,    ,1,0.08,1,    ,    ,17,"2,500.00",371.39,176.25,0.090909,12
C11977,"2,282.81",1,"1,522.72","1,059.38",463.34,"1,905.92",1,0.83,1,0.25,3,38,"9,500.00","4,419.29",613.85,0,12
C11978,859.08,1,    ,    ,    ,909.99,    ,    ,    ,0.17,2,    ,"3,500.00","1,408.88",244.82,0,12
C11979,"5,403.21",1,"1,085.85","1,025.19",60.66,"1,252.18",0.5,0.5,0.17,0.58,18,19,"6,000.00","1,572.55","1,921.64",0,12
C11980,"1,941.54",1,"1,366.74",95.94,"1,270.80",    ,1,0.08,1,    ,    ,20,"6,300.00",495.13,500.75,0,12
C11981,"5,418.31",1,    ,    ,    ,"5,051.79",    ,    ,    ,0.67,29,    ,"8,000.00","1,476.34","1,555.56",0,12
C11982,"11,955.31",1,    ,    ,    ,"2,108.30",    ,    ,    ,0.67,22,    ,"13,000.00","3,933.36","5,601.59",0,12
C11983,"1,224.51",1,529.34,186.03,343.31,"1,108.67",0.83,0.17,0.58,0.25,6,17,"1,200.00",467.46,856.6,0,12
C11984,817.79,1,478.28,189.03,289.25,945.55,0.55,0.18,0.36,0.09,1,7,"2,400.00",635.31,259.5,0,11
C11985,"4,382.11",1,294.75,    ,294.75,"4,945.02",0.75,    ,0.75,0.92,25,11,"4,000.00","6,445.79","6,059.76",0,12
C11986,"9,264.79",1,    ,    ,    ,"4,158.61",    ,    ,    ,0.33,5,    ,"9,500.00","2,535.92","2,245.85",0,12
C11987,"6,512.48",1,98,98,    ,"3,320.08",0.13,0.13,    ,0.88,52,1,"7,000.00","1,304.36","1,642.27",0,8
C11988,31.94,1,417.96,    ,417.96,    ,1,    ,1,    ,    ,13,"2,000.00",472.6,175.28,1,12
C11989,30.86,0.82,143.36,    ,143.36,736.55,0.67,    ,0.67,0.42,5,8,"1,500.00","1,377.98",123.06,0.75,12
C11990,"1,469.72",1,    ,    ,    ,170.38,    ,    ,    ,0.33,5,    ,"1,500.00",395.49,513.4,0,12
C11991,332.89,1,419.56,74,345.56,    ,1,0.25,0.92,    ,    ,26,"3,000.00",473.17,193.27,0,12
C11992,"2,421.94",1,612,76,536,"2,197.16",0.92,0.08,0.83,0.42,10,14,"2,500.00","2,483.29","1,036.06",0,12
C11993,"2,200.57",1,296.4,    ,296.4,    ,1,    ,1,    ,    ,12,"6,000.00",631.03,487.04,0,12
C11994,"1,719.31",1,    ,    ,    ,259.92,    ,    ,    ,0.17,2,    ,"1,950.00",458.84,601.12,0,12
C11995,"2,247.13",0.5,    ,    ,    ,"6,634.23",    ,    ,    ,0.4,12,    ,"7,000.00",316.03,"1,206.82",0,10
C11996,"1,663.97",1,    ,    ,    ,"2,123.72",    ,    ,    ,0.33,9,    ,"2,500.00","1,566.48",391.11,0,12
C11997,"1,402.78",1,    ,    ,    ,36.2,    ,    ,    ,0.18,2,    ,"1,500.00",152.32,"3,244.71",0,11
C11998,"9,459.14",1,878.11,159.91,718.2,"5,247.42",1,0.25,0.92,0.5,8,16,"15,000.00","1,987.09","2,931.22",0,12
C11999,"4,626.28",1,    ,    ,    ,"9,579.68",    ,    ,    ,0.5,9,    ,"5,000.00",613.55,633.69,0,6
C12000,113.7,0.36,    ,    ,    ,498.46,    ,    ,    ,0.08,1,    ,"6,500.00",851.64,179.17,0,12
C12001,168.54,1,176.73,109,67.73,    ,0.33,0.08,0.17,    ,    ,4,"5,000.00",197.07,173.06,0,12
C12002,662.02,0.88,280,280,    ,"2,276.32",0.13,0.13,    ,0.25,2,1,"3,000.00","1,914.04",129.18,0.142857,8
C12004,"1,302.78",1,45.65,45.65,    ,    ,0.08,0.08,    ,    ,    ,1,"1,500.00",351.86,"5,104.50",0,12
C12005,517.12,0.5,280.24,280.24,    ,"1,295.25",0.13,0.13,    ,0.25,2,2,"11,000.00","6,684.56",77.66,0,8
C12006,"5,598.86",1,"7,194.53","6,678.26",516.27,"14,200.89",1,1,1,0.83,37,69,"15,500.00","12,487.37","2,074.90",0.083333,12
C12007,"6,537.80",1,"1,885.94",75,"1,810.94","2,099.80",0.92,0.08,0.92,0.42,6,29,"8,500.00","1,625.32","1,608.31",0,12
C12008,"1,308.30",1,918.67,918.67,    ,    ,0.58,0.58,    ,    ,    ,22,"1,800.00",258.03,376.72,0,12
C12009,"1,009.06",1,702.4,265.6,436.8,    ,1,0.25,1,    ,    ,28,"7,500.00","1,184.72",245.89,0,12
C12010,8.29,0.73,125,    ,125,    ,0.83,    ,0.75,    ,    ,10,"3,000.00",125.14,82.82,0.2,12
C12011,151.01,1,"1,455.97",412.69,"1,043.28",    ,0.92,0.33,0.83,    ,    ,39,"1,800.00","1,380.90",156.99,0.363636,12
C12012,"2,062.67",1,518.17,71.9,446.27,"1,257.24",1,0.17,1,0.33,12,35,"4,000.00","1,049.38","1,100.81",0,12
C12013,"3,666.68",1,    ,    ,    ,"2,461.89",    ,    ,    ,0.58,19,    ,"4,000.00",674.88,"1,362.23",0,12
C12014,"1,764.91",0.73,    ,    ,    ,"1,552.83",    ,    ,    ,0.25,6,    ,"3,666.67","5,126.65",654.75,0.125,12
C12015,"2,919.80",1,217.9,118.9,99,    ,1,0.08,1,    ,    ,25,"7,500.00",832.69,764.63,0,12
C12016,"1,925.09",1,"5,189.51","3,609.24","1,580.27",    ,1,1,0.83,    ,    ,102,"7,500.00","5,851.06",492.88,0,12
C12017,"5,291.22",1,"2,090.47","1,965.41",125.06,"1,153.67",0.5,0.5,0.42,0.25,3,21,"15,000.00","1,718.46","1,495.80",0,12
C12018,107.13,1,15.4,15.4,    ,182.66,0.08,0.08,    ,0.33,6,1,200,255.1,198.93,0,12
C12019,124.29,1,662.4,108.71,553.69,    ,1,0.22,0.89,    ,    ,23,"1,000.00",367.26,134.12,0.428571,9
C12020,"6,727.54",1,711.72,617.4,94.32,"6,498.71",1,0.92,1,0.42,12,23,"8,500.00","1,303.90","1,834.60",0,12
C12021,"3,007.47",1,102.48,    ,102.48,    ,0.58,    ,0.58,    ,    ,28,"3,000.00",561.59,"1,691.89",0,12
C12022,"5,715.85",1,"2,173.99","1,556.19",617.8,    ,0.67,0.58,0.5,    ,    ,33,"8,500.00","1,828.97","1,313.88",0,12
C12023,274.04,1,286.19,58,228.19,    ,0.42,0.08,0.42,    ,    ,7,"1,700.00",911.37,179.24,0,12
C12024,"3,476.60",1,"9,683.28","7,253.28","2,430.00",    ,0.75,0.5,0.25,    ,    ,15,"12,500.00","6,084.95",722.99,0,12
C12025,"1,075.83",1,32,32,    ,"1,859.42",0.08,0.08,    ,0.67,23,1,"9,000.00","2,266.90",385.24,0,12
C12026,760.93,1,360,    ,360,"3,180.89",1,    ,0.89,0.22,4,9,"5,000.00","2,312.47",288.49,0,9
C12027,51.43,1,486.01,486.01,    ,    ,0.83,0.83,    ,    ,    ,13,"7,000.00",544.04,164.61,0,12
C12028,"1,093.95",1,    ,    ,    ,18.48,    ,    ,    ,0.08,1,    ,"1,200.00",276.73,283.18,0,12
C12029,"1,630.62",1,    ,    ,    ,381.54,    ,    ,    ,0.17,2,    ,"2,100.00","1,117.71",459.78,0,12
C12030,78.09,1,243.48,    ,243.48,    ,1,    ,1,    ,    ,12,"1,500.00",152.75,157.9,0.083333,12
C12031,"3,196.41",1,"2,083.25",    ,"2,083.25",    ,0.75,    ,0.67,    ,    ,22,"6,000.00",641.03,"1,268.59",0,12
C12032,447.65,0.36,17.8,17.8,    ,"2,429.82",0.08,0.08,    ,0.25,3,1,"2,500.00","9,858.06",737.68,0.5,12
C12033,34.36,0.55,266.25,    ,266.25,    ,0.45,    ,0.45,    ,    ,5,"7,500.00",338.57,85.84,0.5,11
C12034,"1,497.15",0.88,    ,    ,    ,"4,444.65",    ,    ,    ,0.38,8,    ,"2,500.00","2,986.36",487.91,0.166667,8
